Submit_ID,Brand,Model_No,Family Name,SoldIn,Country,Sing_or_fam,nom_lamp_power,avg_meas_lum_flux,median_lamp_life,lumen_maintenance,avg_meas_efficacy,inputvolt_min,inputvolt_max,ExpDate,GrandDate,SubmitStatus,Product Class,Availability Status,Product Website,Representative Brand URL,Lamp Light Output (Lumens),Lamp Type,What test standard was used,Price
70832,Sylvania,MR16 35W,MR16 35W,"Australia,Fiji,New Zealand",China,,35,485.6,4002,0.84,13.8,12,12,2019-02-03,,Approved,,Unavailable,,http://www.sla.net.au,480,ELV halogen reflector,AS/NZS 4934.1:2008,102
77022,OSRAM,45860 SP 20W LL,Decostar 51 Long Life 20W,"Australia,Fiji,New Zealand",Germany,Family,20,221,4322,1,11.16,12,12,2021-02-10,,Approved,Class 1,Available,http://www.ledvance.com.au,http://www.ledvance.com.au,221,ELV halogen reflector,AS/NZS 4934.1:2008,147
77022,OSRAM,45860 WFL 20W LL,Decostar 51 Long Life 20W,"Australia,Fiji,New Zealand",Germany,Family,20,221,4322,1,11.16,12,12,2021-02-10,,Approved,Class 1,Available,http://www.ledvance.com.au,http://www.ledvance.com.au,221,ELV halogen reflector,AS/NZS 4934.1:2008,124
77022,OSRAM,Decostar 51 Long Life 20W,Decostar 51 Long Life 20W,"Australia,Fiji,New Zealand",Germany,Family,20,221,4322,1,11.16,12,12,2021-02-10,,Approved,Class 1,Available,http://www.ledvance.com.au,http://www.ledvance.com.au,221,ELV halogen reflector,AS/NZS 4934.1:2008,108
77959,SEARCHLIGHT,G4 12V 10W,G4 12V 10W,"Australia,Fiji,New Zealand",China,,10,132.1,2000,0.895,12.2,12,12,2019-01-16,,Approved,,Unavailable,,,130,ELV halogen non reflector,AS/NZS 4934.1:2008,110
77960,SEARCHLIGHT,G4 12V 20W,G4 12V 20W,"Australia,Fiji,New Zealand",China,,20,259.1,2000,0.846,12.6,12,12,2019-01-29,,Approved,,Unavailable,,,280,ELV halogen non reflector,AS/NZS 4934.1:2008,145
79587,Olsent,A55BHV-53CL,A55XHV-53CL( X=B or T),"Australia,Fiji,New Zealand",China,,53,829,2000,0.93,14.98,240,240,2019-03-24,,Approved,,Available,http://www.sengled.com/,,780,Mains Voltage halogen non reflector,AS/NZS 4934.1:2008,112
79587,Olsent,A55THV-53CL,A55XHV-53CL( X=B or T),"Australia,Fiji,New Zealand",China,,53,829,2000,0.93,14.98,240,240,2019-03-24,,Approved,,Available,http://www.sengled.com/,,780,Mains Voltage halogen non reflector,AS/NZS 4934.1:2008,141
79587,Olsent,A55XHV-53CL( X=B or T),A55XHV-53CL( X=B or T),"Australia,Fiji,New Zealand",China,,53,829,2000,0.93,14.98,240,240,2019-03-24,,Approved,,Available,http://www.sengled.com/,,780,Mains Voltage halogen non reflector,AS/NZS 4934.1:2008,149
79723,Olsent,A55BHV-42CL,A55XHV-42CL( X=B or T),"Australia,Fiji,New Zealand",China,,42,604,2000,0.92,14.18,240,240,2019-03-29,,Approved,,Available,http://www.sengled.com/,,590,Mains Voltage halogen non reflector,AS/NZS 4934.1:2008,111
79723,Olsent,A55THV-42CL,A55XHV-42CL( X=B or T),"Australia,Fiji,New Zealand",China,,42,604,2000,0.92,14.18,240,240,2019-03-29,,Approved,,Available,http://www.sengled.com/,,590,Mains Voltage halogen non reflector,AS/NZS 4934.1:2008,132
79723,Olsent,A55XHV-42CL( X=B or T),A55XHV-42CL( X=B or T),"Australia,Fiji,New Zealand",China,,42,604,2000,0.92,14.18,240,240,2019-03-29,,Approved,,Available,http://www.sengled.com/,,590,Mains Voltage halogen non reflector,AS/NZS 4934.1:2008,130
79726,Olsent,A55BHV-53FR,A55XHV-53FR( X=B or T),"Australia,Fiji,New Zealand",China,,53,864.4,2000,0.88,15.63,240,240,2019-03-24,,Approved,,Available,http://www.sengled.com/,,780,Mains Voltage halogen non reflector,AS/NZS 4934.1:2008,118
79726,Olsent,A55THV-53FR,A55XHV-53FR( X=B or T),"Australia,Fiji,New Zealand",China,,53,864.4,2000,0.88,15.63,240,240,2019-03-24,,Approved,,Available,http://www.sengled.com/,,780,Mains Voltage halogen non reflector,AS/NZS 4934.1:2008,116
79726,Olsent,A55XHV-53FR( X=B or T),A55XHV-53FR( X=B or T),"Australia,Fiji,New Zealand",China,,53,864.4,2000,0.88,15.63,240,240,2019-03-24,,Approved,,Available,http://www.sengled.com/,,780,Mains Voltage halogen non reflector,AS/NZS 4934.1:2008,122
79727,Olsent,A55BHV-42FR,A55XHV-42FR( X=B or T),"Australia,Fiji,New Zealand",China,,42,640.8,2000,0.88,14.77,240,240,2019-03-24,,Approved,,Available,http://www.sengled.com/,,590,Mains Voltage halogen non reflector,AS/NZS 4934.1:2008,105
79727,Olsent,A55THV-42FR,A55XHV-42FR( X=B or T),"Australia,Fiji,New Zealand",China,,42,640.8,2000,0.88,14.77,240,240,2019-03-24,,Approved,,Available,http://www.sengled.com/,,590,Mains Voltage halogen non reflector,AS/NZS 4934.1:2008,101
79727,Olsent,A55XHV-42FR( X=B or T),A55XHV-42FR( X=B or T),"Australia,Fiji,New Zealand",China,,42,640.8,2000,0.88,14.77,240,240,2019-03-24,,Approved,,Available,http://www.sengled.com/,,590,Mains Voltage halogen non reflector,AS/NZS 4934.1:2008,128
81675,Olsent,A55BHV-70CL,A55XHV-70CL( X=B or T),"Australia,Fiji,New Zealand",China,,70,1140,2000,0.82,15.78,240,240,2019-06-26,,Approved,,Available,http://www.sengled.com/,,1130,Mains Voltage halogen non reflector,AS/NZS 4934.1:2008,130
81675,Olsent,A55THV-70CL,A55XHV-70CL( X=B or T),"Australia,Fiji,New Zealand",China,,70,1140,2000,0.82,15.78,240,240,2019-06-26,,Approved,,Available,http://www.sengled.com/,,1130,Mains Voltage halogen non reflector,AS/NZS 4934.1:2008,134
81675,Olsent,A55XHV-70CL( X=B or T),A55XHV-70CL( X=B or T),"Australia,Fiji,New Zealand",China,,70,1140,2000,0.82,15.78,240,240,2019-06-26,,Approved,,Available,http://www.sengled.com/,,1130,Mains Voltage halogen non reflector,AS/NZS 4934.1:2008,129
